feature,importance
"City_Balurghat, India",4.450272058452831e-05
"City_Margao, India",4.4426872254268466e-05
"City_Shahabad, India",4.423130591852932e-05
"City_Ranchi, India",4.420780424861351e-05
"City_Karur, India",4.413917976546642e-05
"City_Sri Madhopur, India",4.407746328487705e-05
"City_Jammalamadugu, India",4.3939693932177366e-05
"City_Nilanga, India",4.3646325980854155e-05
"City_Korba, India",4.3641224396787655e-05
"City_Washim, India",4.360293121767524e-05
"City_Firozpur Cantt., India",4.340928580156173e-05
"City_Ottappalam, India",4.3264345984210057e-05
"City_Shegaon, India",4.304666173856955e-05
"City_Palghar, India",4.294229765437232e-05
"City_Kayamkulam, India",4.2734679123500546e-05
"City_Pinjore, India",4.2651352531919525e-05
"City_Sailu, India",4.255340169061598e-05
"City_Narnaul, India",4.2538375676354125e-05
"City_Udupi, India",4.2522250439323824e-05
"City_Sultanpur, India",4.22088103214346e-05
"City_Munger, India",4.2140695288847065e-05
"City_Tuljapur, India",4.210370694843175e-05
"City_Koyilandy, India",4.1970973405842035e-05
"City_Pihani, India",4.188163007115814e-05
"City_Pilani, India",4.169564835058653e-05
"City_Musabani, India",4.1330444393223736e-05
"City_Sillod, India",4.1205772058297545e-05
"City_Petlad, India",4.115280288816938e-05
"City_Mihijam, India",4.108431968003772e-05
"City_Bhilai Nagar, India",4.0991506001301766e-05
"City_Sangrur, India",4.087829301377901e-05
"City_Talode, India",4.065825347987486e-05
"City_Tezpur, India",4.0612697756055425e-05
"City_Tirupathur, India",4.058377060723712e-05
"City_Unjha, India",4.056168051559081e-05
"City_Anantapur, India",4.052357507545066e-05
"City_Kollam, India",4.048189516808469e-05
"City_Aligarh, India",4.032335783939821e-05
"City_Mysore, India",4.032044916537039e-05
"City_Meerut, India",4.022014414325023e-05
"City_Arwal, India",3.939489047502115e-05
"City_Purulia, India",3.932316339678887e-05
"City_Unnao, India",3.9257787728172974e-05
"City_Vapi, India",3.924219614182888e-05
"City_Merta City, India",3.9169645664470786e-05
"City_Sidhi, India",3.902319317139403e-05
"City_Thirumangalam, India",3.8993297288132247e-05
"City_Perinthalmanna, India",3.8949842407062424e-05
"City_Darjiling, India",3.88465973112132e-05
"City_Robertson Pet, India",3.868374772838233e-05
"City_Vadalur, India",3.8602674383532864e-05
"City_Mankachar, India",3.8591466797056484e-05
"City_Lakheri, India",3.8585067449051116e-05
"City_Puranpur, India",3.8508211516313326e-05
"City_Noida, India",3.836040682385892e-05
"City_Thiruvarur, India",3.833582647597201e-05
"City_Nilambur, India",3.8207234583773314e-05
"City_Alipurduar, India",3.811710303581342e-05
"City_Dumraon, India",3.8079732166695015e-05
"City_Phaltan, India",3.767616272731922e-05
"City_Nawabganj, India",3.766551056434945e-05
"City_Nabha, India",3.762475407166613e-05
"City_Narwana, India",3.7506154078804135e-05
"City_Davanagere, India",3.747787607647275e-05
"City_Ponnur, India",3.716404640091427e-05
"City_Rajpipla, India",3.7097707886383626e-05
"City_Risod, India",3.7096031589807876e-05
"City_Afzalpur, India",3.7078372941322626e-05
"City_Sarni, India",3.697521946811418e-05
